DATE,TIME_M,SYM_ROOT,SYM_SUFFIX,SIZE,PRICE
20181101,9:30:00.040146000,AIG,,6,43.3
20181101,9:30:31.101587000,AIG,,100,43.36
20181101,9:30:31.101623000,AIG,,100,43.36
20181101,9:30:32.722519000,AIG,,100,43.275
20181101,9:30:32.724880000,AIG,,100,43.0001
20181101,9:30:57.025264000,AIG,,55,43.06
20181101,9:30:59.614995000,AIG,,100,43.18
20181101,9:30:59.615023000,AIG,,100,43.18
20181101,9:30:59.615143000,AIG,,50,43.08
20181101,9:30:59.615166000,AIG,,100,43.18
20181101,9:30:59.615184000,AIG,,55,43.06
20181101,9:30:59.615216000,AIG,,100,43.18
20181101,9:30:59.615324000,AIG,,100,43.06
20181101,9:30:59.615341000,AIG,,100,43.06
20181101,9:30:59.615361000,AIG,,100,43.28
20181101,9:30:59.615379000,AIG,,50,43.08
20181101,9:30:59.615396000,AIG,,100,43.31
20181101,9:30:59.615410000,AIG,,100,43.34
20181101,9:30:59.615481000,AIG,,100,43.34
20181101,9:30:59.615501000,AIG,,100,43.34
20181101,9:30:59.615819000,AIG,,100,43.34
20181101,9:30:59.615934000,AIG,,10,43.21
20181101,9:30:59.615955000,AIG,,10,43.21
20181101,9:30:59.615979000,AIG,,10,43.3
20181101,9:30:59.615999000,AIG,,90,43.3
20181101,9:30:59.616022000,AIG,,10,43.21
20181101,9:30:59.616046000,AIG,,100,43.07
20181101,9:30:59.616068000,AIG,,10,43.21
20181101,9:30:59.616088000,AIG,,100,43.3
20181101,9:30:59.616109000,AIG,,100,43.06
20181101,9:30:59.616132000,AIG,,50,43.07
20181101,9:30:59.616157000,AIG,,21,43.21
20181101,9:30:59.616178000,AIG,,100,43.21
20181101,9:30:59.616208000,AIG,,39,43.3
20181101,9:30:59.616220000,AIG,,50,43.07
20181101,9:30:59.616243000,AIG,,61,43.3
20181101,9:30:59.616261000,AIG,,60,43.3
20181101,9:30:59.616283000,AIG,,40,43.3
20181101,9:30:59.616343000,AIG,,40,43.31
20181101,9:30:59.616377000,AIG,,100,43.34
20181101,9:30:59.616633000,AIG,,10,43.35
20181101,9:30:59.616657000,AIG,,90,43.35
20181101,9:30:59.616690000,AIG,,71,43.35
20181101,9:30:59.616873000,AIG,,200,43.34
20181101,9:30:59.617070000,AIG,,200,43.34
20181101,9:30:59.617971000,AIG,,100,43.34
20181101,9:30:59.618049000,AIG,,100,43.34
20181101,9:30:59.618161000,AIG,,100,43.34
20181101,9:30:59.618484000,AIG,,100,43.34
20181101,9:30:59.834912000,AIG,,100,43.36
20181101,9:30:59.835956000,AIG,,100,43.35
20181101,9:31:00.002590000,AIG,,100,43.36
20181101,9:31:00.002611000,AIG,,300,43.36
20181101,9:31:00.003191000,AIG,,10,43.33
20181101,9:31:00.003217000,AIG,,10,43.35
20181101,9:31:00.003242000,AIG,,19,43.36
20181101,9:31:00.003499000,AIG,,10,43.34
20181101,9:31:00.003526000,AIG,,100,43.36
20181101,9:31:01.369736000,AIG,,100,43.21
20181101,9:31:01.369833000,AIG,,100,43.16
20181101,9:31:01.369891000,AIG,,100,43.19
20181101,9:31:01.369966000,AIG,,100,43.17
20181101,9:31:02.381795000,AIG,,55,43.15
20181101,9:31:02.381814000,AIG,,100,43.16
20181101,9:31:02.381854000,AIG,,45,43.15
20181101,9:31:02.383318000,AIG,,90,43.26
20181101,9:31:02.383356000,AIG,,100,43.28
20181101,9:31:02.383493000,AIG,,12,43.25
20181101,9:31:02.383650000,AIG,,210,43.34
20181101,9:31:02.383823000,AIG,,390,43.34
20181101,9:31:02.384392000,AIG,,300,43.34
20181101,9:31:02.384777000,AIG,,100,43.34
20181101,9:31:02.390856000,AIG,,100,43.34
20181101,9:31:02.390972000,AIG,,100,43.34
20181101,9:31:02.393534000,AIG,,100,43.16
20181101,9:31:02.394060000,AIG,,12,43.22
20181101,9:31:02.394083000,AIG,,88,43.22
20181101,9:31:02.394106000,AIG,,2,43.22
20181101,9:31:02.395670000,AIG,,1,43.29
20181101,9:31:02.395706000,AIG,,100,43.31
20181101,9:31:02.395726000,AIG,,100,43.31
20181101,9:31:02.395891000,AIG,,599,43.34
20181101,9:31:02.396217000,AIG,,1,43.23
20181101,9:31:02.399488000,AIG,,12,43.29
20181101,9:31:02.399535000,AIG,,89,43.3
20181101,9:31:02.400377000,AIG,,100,43.34
20181101,9:31:02.400533000,AIG,,100,43.34
